order,state_id,cost_a,total_a,cost_b,total_b,a_reached_at_intro3_then6,a_segments_intro3_then6
1,flower-2,3,3,3,3,3,1
2,home-2,6,9,6,9,9,2
3,shop-1,6,15,6,15,15,3
4,bench-2,6,21,6,21,21,4
5,home-3,12,33,12,33,33,6
6,shop-2,12,45,12,45,45,8
7,lamp-2,6,51,4,49,51,9
8,tree-2,6,57,4,53,57,10
9,park-1,12,69,8,61,69,12
10,gate-2,6,75,4,65,75,13
11,flower-3,6,81,4,69,81,14
12,home-4,18,99,12,81,99,17
13,workshop-1,12,111,8,89,111,19
14,shop-3,12,123,8,97,123,21
15,workshop-2,12,135,8,105,135,23
16,bench-3,6,141,4,109,141,24
17,park-2,12,153,8,117,153,26
18,home-5,24,177,16,133,177,30
19,workshop-3,18,195,12,145,195,33
20,harbor-1,18,213,12,157,213,36
21,lamp-3,6,219,4,161,219,37
22,harbor-2,18,237,12,173,237,40
23,park-3,18,255,12,185,255,43
24,tree-3,6,261,4,189,261,44
25,shop-4,24,285,16,205,285,48
26,workshop-4,24,309,16,221,309,52
27,gate-3,6,315,4,225,315,53
28,harbor-3,24,339,16,241,339,57
29,observatory-1,18,357,12,253,357,60
30,fountain-1,6,363,4,257,363,61
31,park-4,24,387,16,273,387,65
32,observatory-2,18,405,12,285,405,68
33,shop-5,24,429,16,301,429,72
34,fountain-2,6,435,4,305,435,73
35,workshop-5,30,465,20,325,465,78
36,harbor-4,24,489,16,341,489,82
37,observatory-3,24,513,16,357,513,86
38,park-5,30,543,20,377,543,91
39,fountain-3,6,549,4,381,549,92
40,observatory-4,30,579,20,401,579,97
41,harbor-5,30,609,20,421,609,102
42,observatory-5,36,645,24,445,645,108
